排名,書籍名稱,作者,連結,分類一
47,別人怎麼對你，都是你教的,黃啟團,https://www.books.com.tw/products/0010841515?loc=P_0003_047,心理勵志
48,一日三餐減醣料理：單週無壓力消失2kg的美味計劃，72道低醣速瘦搭配餐,娜塔,https://www.books.com.tw/products/0010789764?loc=P_0003_048,飲食
49,肌筋膜‧經絡穴位‧激痛點，對症手療身體疼痛地圖全書：權威整脊師教你找到病因路徑，傳授72招全體按摩徒手技，三強度速療痠麻疼與身體緊繃,石垣英俊,https://www.books.com.tw/products/0010832025?loc=P_0003_049,醫療保健
50,媽媽變成鴨：鄧惠文給孩子的情緒成長繪本2 (附故事朗讀QRcode+鄧醫師私房情緒祕方影音QRcode),"鄧惠文,小巫愛麗",https://www.books.com.tw/products/0010840943?loc=P_0003_050,童書/青少年文學
51,我離開之後：一個母親給女兒的人生指南， 以及那些來不及說的愛與牽掛,蘇西．霍普金斯,https://www.books.com.tw/products/0010819417?loc=P_0003_051,心理勵志
52,窮查理的普通常識（增修版）：巴菲特50年智慧合夥人查理．蒙格的人生哲學,查理‧蒙格,https://www.books.com.tw/products/0010817729?loc=P_0003_052,商業理財
53,New TOEIC多益新制黃金團隊5回全真試題＋詳解（附2MP3＋防水書套）,"洪鎮杰,李住恩,NEXUS多益研究所",https://www.books.com.tw/products/0010782277?loc=P_0003_053,語言學習
54,豐盛,楊定一,https://www.books.com.tw/products/0010841938?loc=P_0003_054,心理勵志
55,鱷魚愛上長頸鹿 5：好忙好忙的聖誕節,達妮拉‧庫洛特,https://www.books.com.tw/products/0010734286?loc=P_0003_055,童書/青少年文學
56,動盪：國家如何化解危局、成功轉型？（含32頁珍貴歷史圖片）,賈德．戴蒙,https://www.books.com.tw/products/0010840756?loc=P_0003_056,社會科學
57,角落小夥伴大圖鑑：角落小夥伴檢定官方指定用書(角落生物),主婦與生活社,https://www.books.com.tw/products/0010834256?loc=P_0003_057,生活風格
58,每天演好一個情緒穩定的大人,老楊的貓頭鷹,https://www.books.com.tw/products/0010842410?loc=P_0003_058,心理勵志
59,2030轉職地圖：成為未來10年不被淘汰的國際人才,Sandy Su（蘇盈如）,https://www.books.com.tw/products/0010843696?loc=P_0003_059,商業理財
60,氣炸鍋好好玩料理125：熱炒超美味！蒸煮、油炸、煎烤、烘焙全提案，從新手到進階，網路詢問度最高的油切人氣食譜,"徐湘珠,蕭秀珊,施宜孝",https://www.books.com.tw/products/0010838194?loc=P_0003_060,飲食
61,元氣東京 吳婕安寫真書,吳婕安,https://www.books.com.tw/products/0010842074?loc=P_0003_061,生活風格
62,會開瓦斯就會煮：從家常小館到熱炒店，從酒蒸蛤蠣到三杯雞，IG人氣主廚分享13萬粉絲最愛86道吃不膩、零失敗、親友讚不絕口的超簡單料理（美味99分+成就感100分）,大象主廚,https://www.books.com.tw/products/0010844299?loc=P_0003_062,飲食
63,OKR：做最重要的事,約翰‧杜爾,https://www.books.com.tw/products/0010813170?loc=P_0003_063,商業理財
64,我輩中人：寫給中年人的情書,張曼娟,https://www.books.com.tw/products/0010782501?loc=P_0003_064,文學小說
65,打造富腦袋！從零累積被動收入：月收翻倍的財富攻略,Ms.Selena,https://www.books.com.tw/products/0010840754?loc=P_0003_065,商業理財
66,藝數摺學：18堂從2D到3D的「摺紙數學課」，讓幾何從抽象變具體，發現數學的實用、趣味與美（對應108十二年國教新課綱）,李政憲,https://www.books.com.tw/products/0010831720?loc=P_0003_066,自然科普
67,給不小心就會太在意的你：停止腦中小劇場，輕鬆卸下內心的重擔！,水島廣子,https://www.books.com.tw/products/0010834118?loc=P_0003_067,心理勵志
68,紫微攻略3星曜 我們與真實自己的距離：史上最強星曜解盤！對宮為明鏡，透視深層人性（上集＋下集）,大耕老師,https://www.books.com.tw/products/0010842867?loc=P_0003_068,宗教命理
69,明日之書套書（三冊不分售）：《什麼是民主》+《關於社會階級》+《這就是獨裁》,育苗團隊,https://www.books.com.tw/products/0010841279?loc=P_0003_069,童書/青少年文學
70,上流哥：這年頭存錢比投資更重要,上流哥,https://www.books.com.tw/products/0010842646?loc=P_0003_070,商業理財
71,蝴蝶朵朵 （附贈應用指導手冊，兩冊不分售）,幸佳慧,https://www.books.com.tw/products/0010819143?loc=P_0003_071,童書/青少年文學
72,撕絲入口！辣媽Shania的秒殺手撕麵包：鹽可頌、大蒜奶油、芋泥辮子與紅豆鮮奶油等40款網友大好評手撕麵包╳10種餡料與抹醬,辣媽Shania,https://www.books.com.tw/products/0010829480?loc=P_0003_072,飲食
73,富爸爸，窮爸爸（20週年紀念版）,羅勃特‧T‧清崎,https://www.books.com.tw/products/0010791121?loc=P_0003_073,商業理財
74,帕可好愛非洲樂,瑪嘉莉‧呂榭,https://www.books.com.tw/products/0010775278?loc=P_0003_074,童書/青少年文學
75,第四類投資模式：行為技術分析，從人性與金融市場的互動與碰撞，洞察獲利勝機,保羅．亞佐巴帝,https://www.books.com.tw/products/0010838728?loc=P_0003_075,商業理財
76,少爺（卷壹～卷肆）：魔影魅靈之十二 前世篇,黑潔明,https://www.books.com.tw/products/0010843666?loc=P_0003_076,文學小說
77,元氣東京 吳婕安寫真書 特裝版,吳婕安,https://www.books.com.tw/products/0010842069?loc=P_0003_077,生活風格
78,你的善良必須有點鋒芒2：如何聰明善良，才能讓你做個內心柔軟，但有骨氣的好人？,慕顏歌,https://www.books.com.tw/products/0010831429?loc=P_0003_078,心理勵志
79,小書痴的下剋上：為了成為圖書管理員不擇手段！【第四部】貴族院的自稱圖書委員II,香月美夜,https://www.books.com.tw/products/0010841614?loc=P_0003_079,輕小說
80,帕可好愛交響樂,瑪嘉莉‧呂榭,https://www.books.com.tw/products/0010745090?loc=P_0003_080,童書/青少年文學
81,一人公司：為什麼小而美是未來企業發展的趨勢,保羅．賈維斯,https://www.books.com.tw/products/0010825335?loc=P_0003_081,商業理財
82,全新制20次多益滿分的怪物講師TOEIC多益單字+文法（附1CD+防水書套）,怪物講師教學團隊（台灣）,https://www.books.com.tw/products/0010785313?loc=P_0003_082,語言學習
83,品牌創業4.0 創業新時代，小資也能輕鬆為王,高文振,https://www.books.com.tw/products/0010842583?loc=P_0003_083,商業理財
84,習慣致富：成為有錢人，你不需要富爸爸，只需要富習慣,"湯姆．柯利,麥可．雅德尼",https://www.books.com.tw/products/0010834368?loc=P_0003_084,商業理財
85,我不想說對不起：鄧惠文給孩子的情緒成長繪本（附故事朗讀CD+鄧醫師私房情緒祕方）,鄧惠文,https://www.books.com.tw/products/0010813153?loc=P_0003_085,童書/青少年文學
86,解答之書：專屬於你的人生答案（柔紋皮面燙金＋方背穿線精裝）,卡羅‧波特,https://www.books.com.tw/products/0010805313?loc=P_0003_086,宗教命理
87,"最強字首、字根、字尾：基礎＋進階單字大拆解，10,000個單字輕鬆入腦（附1CD＋虛擬點讀筆APP）",江正文,https://www.books.com.tw/products/0010832859?loc=P_0003_087,語言學習
88,帕可好愛歌劇院,瑪嘉莉‧呂榭,https://www.books.com.tw/products/0010775277?loc=P_0003_088,童書/青少年文學
89,深夜食堂 22,安倍夜郎,https://www.books.com.tw/products/0010838724?loc=P_0003_089,漫畫
90,蔡康永的說話之道（兔斯基慶功版）,蔡康永,https://www.books.com.tw/products/0010643097?loc=P_0003_090,心理勵志
91,有錢人想的和你不一樣,T. Harv Eker,https://www.books.com.tw/products/0010316121?loc=P_0003_091,商業理財
92,帕可好愛爵士樂,瑪嘉莉?呂榭,https://www.books.com.tw/products/0010746723?loc=P_0003_092,童書/青少年文學
93,臺灣數據百閱（雙面書封設計）：100個重要議題，從圖表開啟對話、培養公民思辨力,Re-lab團隊,https://www.books.com.tw/products/0010840583?loc=P_0003_093,社會科學
94,刻意練習：原創者全面解析，比天賦更關鍵的學習法,"安德斯‧艾瑞克森,羅伯特‧普爾",https://www.books.com.tw/products/0010752714?loc=P_0003_094,心理勵志
95,Mother’s Spirit Ⅱ 全,,https://www.books.com.tw/products/0010841163?loc=P_0003_095,漫畫
96,你的善良必須有點鋒芒：36則讓你有態度、不委曲，深諳世故卻不世故的世道智慧,慕顏歌,https://www.books.com.tw/products/0010750061?loc=P_0003_096,心理勵志
97,帕可好愛莫札特,瑪嘉莉‧呂榭,https://www.books.com.tw/products/0010763167?loc=P_0003_097,童書/青少年文學
98,原則：生活和工作,瑞．達利歐,https://www.books.com.tw/products/0010782941?loc=P_0003_098,商業理財
99,看見機會：我在偏鄉15年,須文蔚,https://www.books.com.tw/products/0010842110?loc=P_0003_099,人文史地
100,向大師學調色〔美國33年長銷經典〕：從配色到構圖，讓水彩畫更出色生動的31堂課,珍‧多比,https://www.books.com.tw/products/0010840538?loc=P_0003_100,藝術設計
