排名,書籍名稱,作者,連結
47,我獨特，我珍貴：人文世代的競爭力,"彭漣漪,王怡棻,謝其濬,陳慧玲,陳麗婷,陳玉鳳,錢麗安,陳承璋",https://www.books.com.tw/products/0010903684?loc=P_0003_047
48,引導孩子說出內心話：不說教的情商課，讓親子都被好好理解,澤爸（魏瑋志）,https://www.books.com.tw/products/0010894710?loc=P_0003_048
49,林務局2022「假面之森」筆記本,行政院農業委員會林務局,https://www.books.com.tw/products/0010905645?loc=P_0003_049
50,進擊的巨人 34完(特裝版),諫山創,https://www.books.com.tw/products/0010901593?loc=P_0003_050
51,我用波段投資法，4年賺4千萬：買在低點、賣在高點，賺價差的獲利SOP,陳詩慧,https://www.books.com.tw/products/0010898103?loc=P_0003_051
52,林姓主婦的家務事4：一條龍餐桌，從家庭料理到副食品【觀念重建篇+美味料理篇】（雙書不分售）,林姓主婦,https://www.books.com.tw/products/0010902960?loc=P_0003_052
53,人生實用商學院：誰偷了你的錢？,吳淡如,https://www.books.com.tw/products/0010896393?loc=P_0003_053
54,吃佛：從一座城市窺見西藏的劫難與求生,芭芭拉．德米克,https://www.books.com.tw/products/0010894686?loc=P_0003_054
55,如何改變一個人：華頓商學院教你消除抗拒心理，從心擁抱改變,約拿．博格,https://www.books.com.tw/products/0010894579?loc=P_0003_055
56,小大人的公衛素養課：流行病學×預防醫學  中研院院士陳建仁首本防疫圖文知識書（限量贈送防疫小尖兵貼紙）,"陳建仁,胡妙芬",https://www.books.com.tw/products/0010903657?loc=P_0003_056
57,小資族下班後翻倍賺：財富自由GET！3步驟月入六位數、30歲前晉升新富族,蕾咪Rami,https://www.books.com.tw/products/0010897733?loc=P_0003_057
58,天下大亂：川普政府的中國政策，其形成、矛盾與內幕,喬許．羅金,https://www.books.com.tw/products/0010903591?loc=P_0003_058
59,全新制20次多益滿分的怪物講師TOEIC多益單字+文法（附1CD+防水書套）,怪物講師教學團隊（台灣）,https://www.books.com.tw/products/0010785313?loc=P_0003_059
60,窮查理的普通常識（增修版）：巴菲特50年智慧合夥人查理．蒙格的人生哲學,查理‧蒙格,https://www.books.com.tw/products/0010817729?loc=P_0003_060
61,V怪客：英文出版30週年紀念豪華版,艾倫?摩爾,https://www.books.com.tw/products/0010904386?loc=P_0003_061
62,日本奇妙知識不思議：為什麼餐廳都提供客人冰水但壽司店會給熱茶？平安時代的女性一年只洗一次頭！？超有梗的日本潛規則與豆知識百選,梅用知世,https://www.books.com.tw/products/0010902459?loc=P_0003_062
63,像看花一樣看著你,羅泰柱,https://www.books.com.tw/products/0010901718?loc=P_0003_063
64,致富心態：關於財富、貪婪與幸福的20堂理財課,摩根．豪瑟,https://www.books.com.tw/products/0010882259?loc=P_0003_064
65,職場又不是沙發，追求舒適要幹嘛？周品均的35堂犀利職場課,周品均,https://www.books.com.tw/products/0010904459?loc=P_0003_065
66,非暴力溝通：愛的語言（全新增訂版）,馬歇爾．盧森堡,https://www.books.com.tw/products/0010831754?loc=P_0003_066
67,野貓軍團吃蛋糕,工藤紀子,https://www.books.com.tw/products/0010901380?loc=P_0003_067
68,【作者親簽版】人生實用商學院：誰偷了你的錢？,吳淡如,https://www.books.com.tw/products/0010896389?loc=P_0003_068
